xc,提交人,id,task instruction,potential solution path,verification method,data synth req,involved other task domain ,involved mock service,complexity factors,
Content Creation & Multimedia,Gao Ying,demo-video-to-gif,"I have a product demo MP4 in my file system. Please convert the segment from 2s to 7s into a looping GIF preview with width 480px, and save the GIF back to the file system and add it to my frequently used stickers in chat-app.","Locate the MP4 in file system → extract 2s–7s segment → scale to 480px width → encode as looping GIF → save to file system → open `chat-app` → upload GIF to ""Frequently Used Stickers/常用表情""","1)Output .gif in file system exists and is parseable
2) Width==480x, duration in [4.7s, 5.3s] when converting the [2.0s, 7.0s] segment; 
3) GIF is looping (NETSCAPE loop extension present with loop_count=0 for infinite). 4)Query `chat-app` stickers:  if a new sticker with the same filename/hash exists in ""Frequently Used"" category. 
Score 1.0 if all match; otherwise 0.0.",1. MP4 demo video file(s) in file system 2. video-to-GIF conversion support (trim/scale/loop) 3. GIF metadata inspection for loop + duration 4.chat-app sticker management API/UI,Multimodal Interaction,filesystem-app; chat-app,"A1, B1",
Browser Automation,Lu Qiyanhui,pricing-matrix-reconcile,"I need a clean comparison of our competitor’s pricing. Please open the pricing site in browser, compare plans across monthly and annual tabs for two regions, and fill the canonical template in /workspace/pricing_matrix.csv. Use the template’s plan IDs, not the labels shown on the website.",Open pricing site → switch region selector → open monthly/annual tabs → read visible plan cards and hidden tooltip limits → map website labels to canonical plan IDs in template → fill CSV,"Check /workspace/pricing_matrix.csv exists. Verify all required plan rows are filled for the requested two regions and both billing cadences (monthly and annual). Check price, billing_cycle, and limit fields match the correct webpage content. Check the saved rows use the canonical plan IDs from the template rather than the raw website labels. Binary: 1.0 if all satisfied, 0.5 if the CSV exists but some rows or fields are incomplete / incorrectly mapped, 0.0 otherwise.","1.Browser site with region toggle, monthly/annual tabs, and tooltip-only limits 
2.CSV template with canonical plan IDs that differ from webpage labels 
3.One decoy legacy pricing page accessible from footer",Finance & Data Analysis,"browser-app, filesystem-app","A1, B1",
Browser Automation,Lu Qiyanhui,faq-proof-bundle-from-js-docs,"Please use the docs site in browser to answer whether the product supports SSO, audit logs, and data export. Save a proof bundle in /workspace/faq_proof/ with one markdown summary and one screenshot per claim.",Open docs site → use site search → open JS-rendered FAQ / docs pages → expand collapsed accordions → locate evidence for 3 capabilities → capture screenshots → write summary linking each claim to page title and screenshot,"Under /workspace/faq_proof/, require summary.md (each claim includes a Captured URL) plus sso_evidence.txt, audit_logs_evidence.txt, data_export_evidence.txt—plain-text excerpts copied from the corresponding current doc pages (minimum length fixed in synth, e.g., ≥80 chars each). Verify: all three URLs match the synth current-doc allowlist; fail if any URL matches /docs/archive/ (or synth-defined prefix) or if excerpt/summary contains the synth-fixed Archived sentence; each .txt must contain the claim-specific seed phrases from synth (substring match). 1.0 all pass; 0.5 missing file/phrase; 0.0 archive or wrong URLs.
","1.JS-rendered docs site with search, accordions, and lazy-loaded sections 
2.At least one outdated archived FAQ page that contradicts current docs 
3.Screenshot capture support in browser mock",Documents & Knowledge,"browser-app, filesystem-app","A2, B1",
Browser Automation,Lu Qiyanhui,release-note-regression-watch,"Open the product release portal and compare the latest release notes with the previous saved watchlist in workspace. Update /workspace/regression_watch.md with features that were removed, renamed, or now marked beta.",Open release portal → locate current and previous release notes through version selector → compare with existing watchlist file in workspace → identify removed/renamed/beta-tagged items → update watch file,"Against the full enumerated change list from data synth, verify the agent-updated regression_watch.md entry-by-entry: each change must appear with the correct type and version. For every stale statement in the seed file that contradicts the latest release notes, verify it is removed or corrected in the final file and not left contradictory. Verify the final file does not incorporate marketing/promotional content as if it were release notes (per the same non-release-source rule fixed in data synth). Scoring: full credit when all checks pass; partial credit for incomplete or partially wrong updates; zero credit for major omissions, widespread type/version errors, or clear mixing-in of non-release sources.","1.The release portal exposes a previous and a latest release-notes view; version identifiers and stable page references are fixed by the implementation.
2.Provide a fully enumerated change list as the sole ground truth: each entry specifies the affected item, change type (removed / renamed / beta), the release version it applies to, and how it must be reflected in the watchlist (constraints/wording rules as defined by the implementation).
3.Seed an initial /workspace/regression_watch.md containing several statements that are stale or contradictory relative to the latest release notes and must be removed or rewritten in the final output.
4.Define a marketing/promotional surface that must not be treated as release notes, and fix a deterministic rule distinguishing it from official release content; verification uses the same rule.",Documents & Knowledge,"browser-app, workspace-app, filesystem-app","A1, B2",
Browser Automation,Lu Qiyanhui,paginated-directory-shortlist-export,"Open the partner directory in the browser. Apply the filter criteria stated in this instruction (if /workspace/filter_spec.txt exists and conflicts with this text, the file wins). Filters must be fully actionable (e.g., category, operational status, minimum rating, region—exact values are fixed by the task author at ship time). A valid row satisfies all filters and the required active/eligibility state (e.g., Active as defined by the task). Do not include any listing that fails any criterion. Dedupe: one row per vendor_id; if display names differ but refer to the same vendor_id, or names are equivalent under the task’s normalized similarity rule, keep a single row. Paginate as needed and open detail modals/detail pages when required. Export exactly eight valid, deduplicated vendors to /workspace/shortlist.csv with the required columns, where at least two columns must be sourced only from the detail modal/page (do not invent modal-only fields from list cards). ",Open directory → apply filters → paginate through results → open detail modal/cards → exclude near-duplicates and invalid entries → export 8 valid rows to CSV,"Check /workspace/shortlist.csv exists with exactly 8 rows. Verify every row satisfies the requested filter constraints and that duplicate / near-duplicate entries were excluded. Check at least 2 required fields in the CSV come from detail views or modal pages rather than only the list page. Binary: 1.0 if all satisfied, 0.5 if the CSV exists but has the wrong number of rows, partial fields, or invalid / duplicate entries, 0.0 otherwise.","1.Browser directory with filters, pagination, and detail modals 
2.Some duplicate vendors with slightly different display names 
3.One disabled filter chip that looks active unless clicked carefully",E-commerce & Daily Services,"browser-app, filesystem-app","A2, B1",
Browser Automation,Lu Qiyanhui,cookiewall-locale-policy-diff,Check the public policy website in browser and compare the English and EU-localized versions of the data retention policy. Save a short diff note in /workspace/policy_diff.md describing any meaningful mismatch.,Open site → dismiss locale-specific cookie wall → switch locale/version selector → open same policy page in two locales → compare retention period / export wording / deletion wording → write diff note,"Check /workspace/policy_diff.md exists. Verify it compares the correct English and EU-localized data retention policy pages (as pinned in data synth) and documents every intentionally seeded EN vs EU mismatch (not just high-level categories), using anchor-grounded specifics for each item so purely formatting-only differences do not count as required mismatches. Check the write-up is based on the actual policy pages and does not treat unrelated support articles as authoritative sources. Binary: 1.0 if all satisfied; 0.5 if the file exists but the comparison is incomplete, misses any seeded mismatch, or appears grounded in the wrong pages; 0.0 otherwise.","1.Pinned English and EU-localized data retention policy URLs plus a reproducible locale switch path.
2.Enumerated list of every intentional EN vs EU wording mismatch, each with deterministic on-page anchors (required substrings/numbers/obligations).
3.Locale-specific cookie wall / consent behavior that must be cleared before each policy view.
4.Support-article distractors that reuse keywords but are not authoritative policy pages.
5.Written non-mismatch rules (formatting-only / allowed trivial rewordings) so scoring is not subjective.","Security & Privacy, Documents & Knowledge","browser-app, filesystem-app","A2, B1",
Browser Automation,Lu Qiyanhui,pressroom-alias-collector,"Collect the latest 6 press releases relevant to the target company from the public pressroom site. Use the alias mapping file in /workspace/entity_aliases.csv, because the pressroom may use subsidiary names or shortened labels instead of the canonical company name. Ignore archived or duplicated releases. Save a clean list to /workspace/pressroom.csv with columns canonical_company, title, date, url, matched_alias.",Open workspace alias file → identify canonical company and valid aliases / subsidiary names → open pressroom site in browser → browse latest releases → match titles/pages using alias mapping → exclude archived / mirrored / duplicate releases → save the latest 6 valid releases to pressroom.csv,"Check /workspace/pressroom.csv exists with exactly 6 rows. Verify each row contains the required fields: canonical_company, title, date, url, matched_alias. Check all rows correspond to the target company after applying the alias mapping from /workspace/entity_aliases.csv, and that archived / duplicate / mirrored releases were excluded. Verify rows are ordered by date from newest to oldest. Binary: 1.0 if all satisfied, 0.5 if the CSV exists but alias mapping is incomplete or includes archived / duplicate items, 0.0 otherwise.","1.Browser pressroom site with current releases, archived releases, and mirrored duplicate posts 
2.Workspace alias file: one canonical company mapped to 2–3 subsidiary / short-form aliases 
3.Some pressroom titles use aliases only, not the canonical company name 
4.At least 1 archived result and 1 duplicate result intentionally mixed into the latest pages",Documents & Knowledge,"browser-app, workspace-app, filesystem-app","A1, A2, B1",
Browser Automation,Lu Qiyanhui,ad-library-snapshot-capture,Use the ad library site in browser to capture 5 current creatives from the target brand. Save the evidence to /workspace/ad_snapshots/ with one image screenshot and one metadata note per creative.,Open ad library → search target brand → scroll infinite feed → open creative detail overlays → capture screenshot and extract metadata → repeat until 5 valid current creatives are collected,"Check /workspace/ad_snapshots/ exists and contains exactly five screenshot files and five metadata files following the synth-defined pairing convention (e.g., matching {creative_id}.png and {creative_id}.md for the same ids). Verify each metadata file includes all required fields from data synth, that creative_id matches the filename stem, and that status is CURRENT (or the synth-defined “capturable” state) for every captured item. Verify the five creative_ids match the seeded allowlist and that no paused/archived creative is used as one of the five. Binary: 1.0 if all satisfied; 0.5 if the folder exists but pairing/fields are incomplete or one wrong-status creative slips in; 0.0 otherwise.","1.Mixed current / paused / archived creatives in the feed, with fixed, inspectable status signals (e.g., detail-overlay status field values and/or visible badges: LIVE/CURRENT, PAUSED, ARCHIVED).
2.Five target creative_ids that are CURRENT and must be captured (ground-truth allowlist).
3.Required metadata fields for each capture (fixed schema), e.g. creative_id, status, headline, campaign_name, start_date, end_date, platform (adjust to your mock, but must be fully listed in synth).
4.Fixed file pairing rule: one screenshot and one metadata file per creative, e.g. {creative_id}.png and {creative_id}.md (or .json) under /workspace/ad_snapshots/.
5.Infinite-scroll listing with the same creative appearing in multiple feed positions (dedupe by creative_id).
6.Paused/archived items appear as decoys and must not be selected for the five required captures.","Social Media & Operations, Content Creation & Multimedia","browser-app, filesystem-app","A2, B1",
Browser Automation,Lu Qiyanhui,multi-download-dashboard-merge,"Open the analytics dashboard in the browser and set the export date range to exactly the range specified in this instruction (if /workspace/report_range.txt exists and conflicts with this instruction, follow the file). From the Traffic, Conversions, and Spend tabs, download three CSV exports covering the same range. Normalize columns using /workspace/column_map.json, unify the date key to the canonical column name, and merge metrics by date into /workspace/daily_merge.csv. Refresh rule: before writing new in-range results, remove existing rows in daily_merge.csv whose canonical date lies inside the target range, then insert the newly merged rows for that range; do not delete rows outside the range unless explicitly required. Overwrite/save the updated merge file. If any tab label, export button, or column header differs from expectations, use column_map.json rather than guessing names.",Open dashboard in browser → set or confirm the same date range across traffic / conversions / spend tabs → download 3 CSV exports → inspect differing date column names and metric labels → handle one legacy-labeled export → open existing daily_merge.csv in workspace/filesystem context → normalize schema → merge by date → overwrite updated merged file,"Check /workspace/daily_merge.csv exists. Verify it contains a merged table keyed by date, with values correctly combined from the traffic, conversions, and campaign spend exports for the requested date range. Check differing source column names / date formats were normalized correctly, and that at least one legacy export label was mapped to the canonical schema. Verify stale rows from the previous merged file were refreshed rather than copied forward unchanged. Binary: 1.0 if all satisfied, 0.5 if the merged file exists but date alignment, schema normalization, or refresh logic is incomplete, 0.0 otherwise.","1.Pinned date range for Traffic / Conversions / Spend exports (same inclusive window everywhere), also mirrored in /workspace/report_range.txt if used.
2.Three seed exports (fixtures) whose rows and values match that range but use different date/metric column names.
3./workspace/column_map.json listing legacy → canonical names and any date-format normalization rules.
4.Golden daily_merge.csv (or per-date expectations) for the canonical schema after merge.
5.A pre-existing /workspace/daily_merge.csv with rows inside and outside the range to test refresh.
6.One explicit refresh policy (e.g., delete all rows whose canonical date falls in the range, then insert the newly merged in-range rows; keep out-of-range rows intact).g",Finance & Data Analysis,"browser-app, filesystem-app, workspace-app","A1, A2, B2",
Browser Automation,Lu Qiyanhui,consent-flow-form-visibility-check,Please verify which required fields appear in the signup flow before and after consent choices. Use the browser to test the form flow and write the results to /workspace/signup_field_matrix.md.,Open signup flow → step through consent choices → observe which fields/checkboxes appear or disappear → repeat for two consent paths → write a field matrix note,"Check /workspace/signup_field_matrix.md exists and matches the data-synth ground-truth matrix for both consent branches cell-for-cell (required vs optional vs hidden at each step). Verify the agent does not mark the misleading optional field as required, and verify optional fields are not relabeled as required anywhere else. Binary: 1.0 if all satisfied; 0.5 if the file exists but one branch or one step is incomplete/partially wrong; 0.0 otherwise.","1.Two explicit consent branches end-to-end (e.g., Accept marketing vs Decline marketing), each with the same starting steps then a branching step that changes later screens.
2.A ground-truth field-visibility matrix keyed by (branch, step) stating, for every form field, whether it is R (required), O (optional), or - (hidden/not shown)—this matrix is the sole reference for building the mock and for verification.
3.Always-visible vs conditional fields are fully enumerated (no “TBD” cells): which fields exist on every path vs only after a branch choice.
4.One misleading optional control: visually styled like required but syntactically optional per matrix—implementation matches matrix exactly.
5.Seeded expected artifact for verification: the same matrix (or an isomorphic machine-readable copy) packaged for the verifier (agent-facing instructions should still require exploration, not paste the answer key). ",Security & Privacy,"browser-app, filesystem-app","A2, B1",
Browser Automation,Lu Qiyanhui,public-archive-timeline-rebuild,"Use the public update site in browser to reconstruct a timeline of policy changes over the last four releases. Save the result to /workspace/policy_timeline.csv with columns date, version, change, source_url",Open update site → navigate archive pages by release → open detail pages → identify policy-related changes only → order them chronologically → write timeline CSV,"Check /workspace/policy_timeline.csv exists with the required columns: date, version, change, source_url. Verify it reconstructs policy-related changes across the last 4 releases in correct chronological order, and that each row points to a valid source page. Check non-policy changes were excluded from the timeline. Binary: 1.0 if all satisfied, 0.5 if the CSV exists but rows are incomplete, misordered, or include irrelevant changes, 0.0 otherwise.","1.Last four releases are fixed and navigable (index + detail URLs stable).
2.Enumerated ground-truth policy rows only: for each release, list the exact policy change lines that must appear in policy_timeline.csv (text anchors + source_url + date + version).
3.Enumerated non-policy decoys per release (product/UI changes) that must be excluded, with titles/keywords or ids so exclusion is checkable.
4.Counts are explicit (e.g., per-release policy row counts) so verification is not “at least one correct line.”
5.At least one misleading release heading where the policy content is only clear in the detail page (implementation matches the seeded ground truth).
6.Deliver a golden expected CSV (or equivalent) derived from the same seeds the verifier uses—structure alone is insufficient.
","Documents & Knowledge, Security & Privacy","browser-app, filesystem-app","A2, B1",
Multimodal Interaction,Liyan Yang,standup-actions-to-todolist,"Just finished our standup meeting. Get the action items from the recording
  (meeting ID: mtg_20260315_standup), add them to the Sprint-Q2 todo list,
  and email me a summary at user@acme.test.","  Step 1: Run 'transcribe extract-actions mtg_20260315_standup' to get
          action items: [""Alice to deploy login fix to staging today"",
          ""Bob to update API docs by end of week"", ""Schedule follow-up
          meeting for Thursday""].
  Step 2: Open todolist app, navigate to project 'Sprint-Q2'.
  Step 3: See 2 existing todos: ""Deploy login fix to staging"" and
          ""Update API documentation"" -- these overlap with action items
          #1 and #2 (same task, different wording).
  Step 4: Add only the new item: ""Schedule follow-up meeting for Thursday"".
          Skip duplicates.
  Step 5: Compose and send email to user@acme.test with subject
          'Standup Summary' listing all 3 action items and noting which
          were already in the todo list.","  (1) todolist DB: Sprint-Q2 has exactly 3 todos (2 orig + 1 new)      [0.25]
  (2) No duplicate todos created                                        [0.20]
  (3) ""Schedule follow-up meeting"" todo exists                          [0.15]
  (4) Email sent to user@acme.test                                      [0.20]
  (5) Email body contains all 3 action items                            [0.10]
  (6) Original 2 todos not deleted or duplicated                        [0.10]","  Transcription: meetings table with mtg_20260315_standup transcript and
  3 preset action items. Todolist: Sprint-Q2 project with 2 existing
  todos that semantically overlap with 2 of the 3 action items.
  Email: seed test user credentials.
  Golden: 3 total todos + email sent + no duplicates.","  Communication & Email, Calendar & Task Mgmt","  skill-multimodal-transcription, todolist-app, email-app","  A1=1 (transcription + todolist + email -- triple cross-service)
  A2=1 (todolist pre-populated with overlapping items)
  B1=1 (agent must recognize semantic duplicates across different wording)",
Multimodal Interaction,Liyan Yang,receipt-to-expense-report,"  I took a photo of my dinner receipt (dinner_march28.png). Add it to
  my March expense report at /workspace/environment/expenses/march_2026.csv
  and put the entry JSON in the output folder.","  Step 1: Run 'imgtools ocr dinner_march28.png' to extract receipt text.
  Step 2: Parse: restaurant = ""The Capital Grille"", date = 03/28/2026,
          total = $87.50.
  Step 3: Write /workspace/output/expense.json: {""restaurant"":
          ""The Capital Grille"", ""date"": ""2026-03-28"", ""total"": ""87.50"",
          ""currency"": ""USD""}.
  Step 4: Read march_2026.csv -- 8 existing entries with running total
          $523.45.
  Step 5: Verify the running total: sum the 8 entries -- get $513.45.
          The existing running total is WRONG by $10.
  Step 6: Append new entry row. Recalculate correct running total:
          $513.45 + $87.50 = $600.95.
  Step 7: Save the updated CSV with corrected running total."," (1) expense.json: restaurant = 'The Capital Grille'                   [0.10]
  (2) expense.json: date = '2026-03-28'                                 [0.10]
  (3) expense.json: total = '87.50', currency = 'USD'                   [0.10]
  (4) march_2026.csv has 9 entries (8 + 1 new)                          [0.15]
  (5) march_2026.csv running total is $600.95 (correct recalculation)   [0.30]
  (6) All original 8 entries preserved                                  [0.10]
  (7) New entry row matches receipt data                                [0.15]","  OCR preset: dinner_march28.png -> realistic receipt text. CSV:
  march_2026.csv with 8 entries summing to $513.45 but showing running
  total of $523.45 (wrong by $10).
  Golden: correct JSON + CSV with 9 rows + correct total $600.95.",File & Data Management,skill-image-understanding,"A2=1 (CSV has incorrect running total -- contaminated data)
  B1=1 (agent must notice and correct the math error, not blindly append)",
Multimodal Interaction,Liyan Yang,business-card-to-contacts-db,"  I met someone at the conference. Here's their business card photo
  (contact_01.png). Save their info to my contacts database at
  /workspace/environment/contacts.db and export a vCard to the output.","  Step 1: Run 'imgtools ocr contact_01.png' to get: ""Sarah Chen, Senior
          Engineer, TechCorp Inc, sarah.chen@techcorp.com, +1-555-0142"".
  Step 2: Query contacts.db for ""Sarah Chen"" -- FOUND: existing record
          with company ""OldCorp Inc"", email ""sarah@oldcorp.com"", and a
          note ""Met at PyCon 2025, interested in ML collaboration.""
  Step 3: This is the same person who changed companies. UPDATE the
          record: new company (TechCorp Inc), new title, new email, new
          phone. PRESERVE the existing note field.
  Step 4: Export the updated record as vCard 3.0 to
          /workspace/output/contact.vcf.","  (1) contacts.db has exactly 1 ""Sarah Chen"" record (no duplicate)      [0.20]
  (2) Company updated to 'TechCorp Inc'                                 [0.15]
  (3) Email updated to 'sarah.chen@techcorp.com'                        [0.15]
  (4) Note field preserved: contains 'PyCon 2025'                       [0.20]
  (5) contact.vcf is valid vCard 3.0                                    [0.10]
  (6) vCard has correct FN, ORG, EMAIL, TEL                             [0.20]","  OCR preset: contact_01.png -> business card text. Database:
  contacts.db with existing ""Sarah Chen"" record at OldCorp with note.
  Golden: 1 record (updated, not duplicated) + note preserved + valid vCard.",Documents & Knowledge,skill-image-understanding,"A2=1 (contacts.db has stale record for same person)
  B1=1 (agent must infer this is the same person at a different company)
  B2=1 (must preserve existing knowledge -- the note field)",
Multimodal Interaction,Liyan Yang,meeting-summary-email,"Send the team a summary of the Q2 board review meeting
  (mtg_board_q2_review) to team@acme.test, with action items as bullet
  points.","Step 1: Run 'transcribe summary mtg_board_q2_review' to get the
          meeting summary paragraph.
  Step 2: Run 'transcribe extract-actions mtg_board_q2_review' to get
          4 action items.
  Step 3: Open email app, compose email to team@acme.test.
  Step 4: Subject: 'Q2 Board Review - Meeting Summary'.
  Step 5: Body: summary paragraph + bulleted list of 4 action items.
  Step 6: Send the email.","  (1) Email sent to team@acme.test                                      [0.20]
  (2) Subject exactly 'Q2 Board Review - Meeting Summary'               [0.20]
  (3) Body contains summary text from API                               [0.20]
  (4) Body contains all 4 action items                                  [0.25]
  (5) Action items formatted as bullets or numbered list                 [0.15]","  Transcription: meeting with preset summary and 4 action items.
  Email: seed test user credentials.
  Golden: email sent with correct subject + body contains summary + actions.",  Communication & Email," skill-multimodal-transcription, email-app",A1=1 (transcription service + email app cross-service),
Multimodal Interaction,Liyan Yang,error-screenshot-diagnosis," A user sent an error screenshot (error_page.png). Diagnose the issue
  and check our known issues page at http://localhost:5180/docs/known-issues
  to see if it's already tracked. Write the diagnosis to the output folder."," Step 1: Run 'imgtools ocr error_page.png' to extract the Python
          traceback: ConnectionRefusedError at db.py:23.
  Step 2: Parse: exception=ConnectionRefusedError, file=db.py, line=23.
  Step 3: Open browser mock at http://localhost:5180/docs/known-issues.
  Step 4: Read the page: issues listed by error CODE (ERR_DB_CONN,
          ERR_AUTH_FAIL, etc.), not by Python exception name.
  Step 5: Map ConnectionRefusedError on a DB file -> ERR_DB_CONN
          (""Database connection failures including timeout and refused"").
  Step 6: Write /workspace/output/diagnosis.json: {""exception"":
          ""ConnectionRefusedError"", ""file"": ""db.py"", ""line"": 23,
          ""known_issue"": true, ""issue_id"": ""ERR_DB_CONN""}."," (1) diagnosis.json: exception = 'ConnectionRefusedError'              [0.20]
  (2) diagnosis.json: file = 'db.py', line = 23                         [0.20]
  (3) diagnosis.json: known_issue = true                                [0.20]
  (4) diagnosis.json: issue_id = 'ERR_DB_CONN'                          [0.20]
  (5) JSON schema is valid                                              [0.20]","  OCR preset: error_page.png -> Python traceback text. Browser mock:
  /docs/known-issues page listing issues by error code (ERR_DB_CONN,
  ERR_AUTH_FAIL, ERR_RATE_LIMIT).
  Golden: all 5 JSON fields correct.",Browser & Web Scraping,"skill-image-understanding, browser_mock_sidecar",A1=1 (image OCR + browser -- cross-service)B1=1 (must map exception name to error code -- different naming),
Multimodal Interaction,Liyan Yang,field-visit-memos-to-wiki,"I recorded voice memos during my field visit (memo_site_visit,
  memo_client_feedback, memo_research_idea). Create structured notes
  and update our project wiki at /workspace/environment/SKILL.md.","Step 1: Run 'transcribe get memo_site_visit' -- rambling transcript
          about foundation, electrical inspection, plumbing.
  Step 2: Run 'transcribe get memo_client_feedback' -- mentions client
          wants faster dashboard, PDF export, and ""switching from React
          to Vue for the frontend.""
  Step 3: Run 'transcribe get memo_research_idea' -- transformer models
          for anomaly detection.
  Step 4: Create /workspace/output/field_notes.md with 3 sections,
          extracting key points as bullet lists (filter filler words).
  Step 5: Read existing SKILL.md -- has ## Tech Stack (""Frontend: React,
          Next.js""), ## Architecture, ## Data Sources (2 existing entries).
  Step 6: Append 3 new entries under ## Data Sources.
  Step 7: Notice memo_client_feedback says ""switch from React to Vue""
          but ## Tech Stack says ""Frontend: React, Next.js"". Update
          Tech Stack to reflect the client decision.
  Step 8: Save SKILL.md preserving all unrelated content."," (1) field_notes.md has 3 sections with correct headings               [0.15]
  (2) Each section has >= 2 bullet points (key content, not filler)     [0.10]
  (3) SKILL.md ## Data Sources has 5 entries (2 orig + 3 new)           [0.15]
  (4) SKILL.md ## Tech Stack updated: mentions Vue (not React)          [0.25]
  (5) SKILL.md other sections preserved (## Architecture unchanged)     [0.15]
  (6) SKILL.md no orphaned/duplicate sections                           [0.10]
  (7) Original Data Sources entries preserved                           [0.10]","  Transcription: 3 voice memos with rambling text (filler words). Key:
  memo_client_feedback mentions ""switch from React to Vue.""
  File: SKILL.md with ## Tech Stack (Frontend: React), ## Architecture,
  ## Data Sources (2 entries).
  Golden: notes file + SKILL.md updated with Vue + 3 new data sources.",Documents & Knowledge,skill-multimodal-transcription,"B1=1 (agent must notice memo contradicts existing SKILL.md tech stack)
  B2=1 (must update persistent knowledge artifact correctly)",
Multimodal Interaction,Liyan Yang,sprint-actions-from-five-meetings,"We had 5 meetings this week. Extract all action items, deduplicate them,
  and create todos in the Sprint-14 project. Write a sprint plan summary
  to the output folder.","  Step 1: For each of 5 meetings, run 'transcribe extract-actions <id>'.
          Get ~18 raw action items total.
  Step 2: Analyze items: 3 pairs are duplicates with different wording
          (e.g., ""Set up CI pipeline for mobile"" vs ""Set up CI/CD for
          mobile""). Deduplicate down to 15 unique items.
  Step 3: Open todolist app, navigate to Sprint-14.
  Step 4: Create 15 todos (one per unique action item).
  Step 5: Parse dates from action text (""by March 28"", ""by April 1"")
          and set due_date fields where mentioned.
  Step 6: Write /workspace/output/sprint_plan.md with a summary table
          listing all meetings, action counts, and the 15 unique items.","  (1) todolist DB: Sprint-14 has exactly 15 todos                      [0.20]
  (2) No duplicate todos                                                [0.20]
  (3) 2 todos have due_date set correctly                               [0.15]
  (4) All todos in project 'Sprint-14'                                  [0.10]
  (5) sprint_plan.md exists and mentions all 5 meeting IDs              [0.15]
  (6) sprint_plan.md has summary of action items                        [0.10]
  (7) All 15 unique actions are represented                             [0.10]"," Transcription: 5 meetings with 3-5 action items each, including 3
  duplicate pairs with different wording. Todolist: Sprint-14 project
  (empty). Golden: 15 unique todos + 2 with dates + sprint plan file.",Calendar & Task Mgmt,"skill-multimodal-transcription, todolist-app","A1=1 (transcription + todolist cross-service)B1=1 (must recognize semantic duplicates across different wording)
",
Multimodal Interaction,Liyan Yang,whiteboard-photos-to-architecture-wiki,"We photographed the whiteboards from the architecture review
  (whiteboard_arch_v2.png and whiteboard_decisions.png). Update our
  architecture wiki at /workspace/environment/architecture/SKILL.md
  with the new info.","Step 1: Run 'imgtools ocr whiteboard_arch_v2.png' -- get architecture
          diagram text: API Gateway -> Auth Service -> PostgreSQL, etc.
  Step 2: Run 'imgtools ocr whiteboard_decisions.png' -- get 4 numbered
          decisions including ""Replace MySQL with PostgreSQL.""
  Step 3: Read existing SKILL.md: ## Architecture says ""Database: MySQL"".
  Step 4: The whiteboard says PostgreSQL, but SKILL.md says MySQL. This
          is a conflict. Resolve: update to PostgreSQL per the new
          architecture decision.
  Step 5: Update ## Architecture with new components (Redis, Elasticsearch,
          Prometheus, Grafana).
  Step 6: Add new ## Decisions section with all 4 decisions.
  Step 7: Preserve ## API Design and other unaffected sections.
  Step 8: Save SKILL.md."," (1) SKILL.md ## Architecture mentions PostgreSQL, Redis, Elasticsearch  [0.20]
  (2) SKILL.md has ## Decisions with 4 entries                           [0.20]
  (3) No 'MySQL' remaining in Architecture section                       [0.15]
  (4) ## API Design section preserved byte-for-byte                      [0.15]
  (5) No orphaned or duplicate sections                                  [0.10]
  (6) All 4 decisions accurately recorded                                [0.10]
  (7) Component connections from architecture diagram reflected           [0.10]"," OCR presets: architecture diagram and decisions list. File: SKILL.md
  with ## Architecture (Database: MySQL), ## API Design (other content).
  Golden: MySQL replaced + decisions added + other sections preserved.",Documents & Knowledge,skill-image-understanding,"B1=1 (conflict between whiteboard content and existing wiki -- not flagged)
  B2=1 (must update persistent knowledge artifact, preserve unaffected parts)",
Multimodal Interaction,Liyan Yang,speech-pipeline-test-before-audit,"We have an accessibility audit next week. Test our TTS-STT speech
  pipeline with the reference text and make sure the pipeline config
  at /workspace/environment/pipeline.yaml matches the working settings.
  Write results to the output folder.","Step 1: Read /workspace/environment/reference.txt for test text.
  Step 2: Run 'transcribe tts ""<text>""' -- get audio file path.
  Step 3: Run 'transcribe get <audio>' -- get CORRUPTED output with
          [INAUDIBLE] markers. stderr says: ""Warning: use --engine=
          whisper-v3 for better results.""
  Step 4: Retry: 'transcribe get --engine=whisper-v3 <audio>' -- get
          clean transcript matching reference.
  Step 5: Compare transcript to reference, compute WER.
  Step 6: Read pipeline.yaml: stt_engine is 'whisper-v2'. This is wrong
          -- the working engine is whisper-v3. Update the config.
  Step 7: Write /workspace/output/transcript.txt (clean transcript).
  Step 8: Write /workspace/output/quality.json with WER score."," (1) transcript.txt matches reference (>95% word overlap)              [0.20]
  (2) quality.json has 'wer' field < 0.05                               [0.15]
  (3) Agent used --engine=whisper-v3 (mock call log)                    [0.15]
  (4) transcript.txt does NOT contain '[INAUDIBLE]'                     [0.10]
  (5) pipeline.yaml: stt_engine = 'whisper-v3'                          [0.25]
  (6) pipeline.yaml: stt_quality updated if applicable                  [0.15]"," File: reference.txt with 2-3 technical sentences. Mock: TTS returns
  audio path; default STT returns corrupted text + stderr hint; whisper-v3
  returns clean text. File: pipeline.yaml with stt_engine: whisper-v2.
  Golden: clean transcript + low WER + config updated to whisper-v3.",File & Data Management,skill-multimodal-transcription,A2=1 (default engine produces corrupted output; config has wrong engine),
